InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536544,DOT,DOTCOM POSTAGE,1,2010-12-01 14:32:00,569.77,,United Kingdom
536592,DOT,DOTCOM POSTAGE,1,2010-12-01 17:06:00,607.49,,United Kingdom
536876,DOT,DOTCOM POSTAGE,1,2010-12-03 11:36:00,887.52,,United Kingdom
537237,DOT,DOTCOM POSTAGE,1,2010-12-06 09:58:00,863.74,,United Kingdom
537240,DOT,DOTCOM POSTAGE,1,2010-12-06 10:08:00,940.87,,United Kingdom
537434,DOT,DOTCOM POSTAGE,1,2010-12-06 16:57:00,950.99,,United Kingdom
537534,M,Manual,1,2010-12-07 11:48:00,924.59,,United Kingdom
C537610,M,Manual,-1,2010-12-07 13:23:00,631.31,,United Kingdom
C537630,AMAZONFEE,AMAZON FEE,-1,2010-12-07 15:04:00,13541.33,,United Kingdom
537632,AMAZONFEE,AMAZON FEE,1,2010-12-07 15:08:00,13541.33,,United Kingdom
537638,DOT,DOTCOM POSTAGE,1,2010-12-07 15:28:00,836.14,,United Kingdom
537643,DOT,DOTCOM POSTAGE,1,2010-12-07 15:34:00,593.15,,United Kingdom
537645,DOT,DOTCOM POSTAGE,1,2010-12-07 15:34:00,607.96,,United Kingdom
C537644,AMAZONFEE,AMAZON FEE,-1,2010-12-07 15:34:00,13474.79,,United Kingdom
C537647,AMAZONFEE,AMAZON FEE,-1,2010-12-07 15:41:00,5519.25,,United Kingdom
C537651,AMAZONFEE,AMAZON FEE,-1,2010-12-07 15:49:00,13541.33,,United Kingdom
C537652,AMAZONFEE,AMAZON FEE,-1,2010-12-07 15:51:00,6706.71,,United Kingdom
537666,DOT,DOTCOM POSTAGE,1,2010-12-07 18:36:00,701.95,,United Kingdom
537823,DOT,DOTCOM POSTAGE,1,2010-12-08 14:25:00,729.42,,United Kingdom
538071,DOT,DOTCOM POSTAGE,1,2010-12-09 14:09:00,885.94,,United Kingdom
538148,DOT,DOTCOM POSTAGE,1,2010-12-09 16:26:00,547.32,,United Kingdom
